MORPH_ID,HydroCode,TopScreen,BottomScreen,RefElev,RefElevDesc,SWL,rSWL,Source,measuredDate,nScreens,geometry
3111536991,514500089,15.5,27.5,744.0,NGS,10.13,733.87,GW Explorer,1995-01-01T00:00:00,1.0,
3111536991,514500089,15.5,27.5,744.0,NGS,8.18,735.82,GW Explorer,2000-05-20T00:00:00,1.0,
3111536991,514500089,15.5,27.5,744.0,NGS,8.03,735.97,GW Explorer,2001-05-16T00:00:00,1.0,
3111536991,514500089,15.5,27.5,744.0,NGS,5.98,738.02,GW Explorer,2002-05-10T00:00:00,1.0,
3111536991,514500089,15.5,27.5,744.0,NGS,6.73,737.27,GW Explorer,2003-05-17T00:00:00,1.0,
3129431301,474400009,,,490.9863586,UNK,16.7,474.2863586,GW Explorer,1991-04-21T00:00:00,0.0,
3161654551,494500006,24.46,34.6,677.0,UNK,7.4,669.6,GW Explorer,1978-08-28T00:00:00,2.0,
3168247731,474500037,12.19,32.0,625.0,UNK,27.13,597.87,GW Explorer,1970-10-12T00:00:00,1.0,
3168247731,474500037,12.19,32.0,625.0,UNK,27.13,597.87,GW Explorer,1971-01-21T00:00:00,1.0,
3185444541,494500041,36.0,60.0,670.0,UNK,24.0,646.0,GW Explorer,1997-01-22T00:00:00,2.0,
3185444541,494500041,36.0,60.0,670.0,UNK,13.2,656.8,GW Explorer,1997-02-06T00:00:00,2.0,
3185444541,494500041,36.0,60.0,670.0,UNK,14.77,655.23,GW Explorer,2000-03-30T00:00:00,2.0,
3185444541,494500041,36.0,60.0,670.0,UNK,13.85,656.15,GW Explorer,2000-05-20T00:00:00,2.0,
3185444541,494500041,36.0,60.0,670.0,UNK,13.59,656.41,GW Explorer,2002-05-10T00:00:00,2.0,
3185444541,494500041,36.0,60.0,670.0,UNK,10.33,659.67,GW Explorer,2003-05-17T00:00:00,2.0,
3190837091,494500045,26.0,38.0,664.0,UNK,15.0,649.0,GW Explorer,1998-11-30T00:00:00,2.0,
3190837091,494500045,26.0,38.0,664.0,UNK,18.16,645.84,GW Explorer,2000-05-20T00:00:00,2.0,
3190837091,494500045,26.0,38.0,664.0,UNK,16.81,647.19,GW Explorer,2001-05-16T00:00:00,2.0,
3190837091,494500045,26.0,38.0,664.0,UNK,15.75,648.25,GW Explorer,2002-05-10T00:00:00,2.0,
3200845661,494500017,42.0,66.0,669.0,UNK,8.95,660.05,GW Explorer,1990-11-16T00:00:00,2.0,
3200845661,494500017,42.0,66.0,669.0,UNK,8.4,660.6,GW Explorer,1991-03-23T00:00:00,2.0,
3200845661,494500017,42.0,66.0,669.0,UNK,12.06,656.94,GW Explorer,2000-05-20T00:00:00,2.0,
3200845661,494500017,42.0,66.0,669.0,UNK,11.36,657.64,GW Explorer,2001-05-16T00:00:00,2.0,
3200845661,494500017,42.0,66.0,669.0,UNK,8.22,660.78,GW Explorer,2002-05-10T00:00:00,2.0,
3200845661,494500017,42.0,66.0,669.0,UNK,10.25,658.75,GW Explorer,2003-05-17T00:00:00,2.0,
3202949191,494500038,51.0,60.0,673.0,UNK,10.0,663.0,GW Explorer,1997-01-11T00:00:00,2.0,
3204417541,484500005,24.0,30.0,594.9071655,UNK,13.0,581.9071655,GW Explorer,1984-04-01T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,20.5,607.5,GW Explorer,1996-08-07T00:00:00,1.0,
