MORPH_ID,HydroCode,FromDepth,ToDepth,TopElev,BottomElev,ConstructionType,Material,InnerDiameter,OuterDiameter,Property,PropertySize,DrillMethod,LogType,geometry
3717325911,534500107,-0.5,27.0,699.5,672.0,VOID,UNK,,,UNK,,UNK,1.0,
3717325911,534500107,15.0,27.0,684.0,672.0,INLT,UPVC12,143.0,,SLAP,2.0,ROT,1.0,
3717597521,524300008,-0.5,5.5,509.34,503.34,LIN,STL,206.0,,UNK,,UNK,1.0,
3717597521,524300008,-0.5,5.5,509.34,503.34,VOID,UNK,,,UNK,,UNK,1.0,
3718893151,514500072,0.0,37.1,654.0,616.9,LIN,PVC,168.0,,UNK,,UNK,1.0,
3718893151,514500072,0.0,7.0,654.0,647.0,LIN,STL,219.0,,UNK,,UNK,1.0,
3718893151,514500072,0.0,37.1,654.0,616.9,VOID,UNK,,,UNK,,UNK,1.0,
3720637751,534400081,0.0,3.0,535.12,532.12,LIN,STLG,,,UNK,,UNK,1.0,
3720637751,534400081,0.0,15.5,535.12,519.62,LIN,PVC,157.0,,UNK,,UNK,1.0,
3720637751,534400081,0.0,20.2,535.12,514.92,VOID,UNK,,,UNK,,UNK,1.0,
3720637751,534400081,16.2,19.2,518.92,515.92,INLT,UPVC,,,SAP,0.5,ROT,1.0,
3720637751,534400081,19.2,20.2,515.92,514.92,INLT,UPVC,,,UNK,,ROT,1.0,
3721066491,514300006,0.0,2.5,509.63,507.13,LIN,STL,185.0,,UNK,,UNK,1.0,
3721066491,514300006,0.0,24.0,509.63,485.63,LIN,PVC,135.0,,UNK,,UNK,1.0,
3721066491,514300006,0.0,36.6,509.63,473.03,VOID,UNK,,,UNK,,UNK,1.0,
3721066491,514300006,24.0,30.0,485.63,479.63,INLT,UPVC,135.0,,SLAP,,CBT,1.0,
3721066491,514300006,30.0,36.6,479.63,473.03,INLT,UPVC,135.0,,UNK,,CBT,1.0,
3725226441,534500063,0.0,5.0,700.0,695.0,LIN,PVC,100.0,,UNK,,UNK,1.0,
3725226441,534500063,0.0,9.0,700.0,691.0,VOID,UNK,,,UNK,,UNK,1.0,
3725226441,534500063,5.0,9.0,695.0,691.0,INLT,UPVC,100.0,,SLAP,,CBT,1.0,
3731362311,474500092,0.0,2.5,651.0,648.5,LIN,STL,219.0,,UNK,,UNK,1.0,
3731362311,474500092,0.0,43.0,651.0,608.0,VOID,UNK,,,UNK,,UNK,1.0,
3731362311,474500092,2.5,30.0,648.5,621.0,LIN,PVC,168.0,,UNK,,UNK,1.0,
3731362311,474500092,30.0,40.0,621.0,611.0,INLT,UPVC,,,SLAP,12.0,ROT,1.0,
3731362311,474500092,40.0,43.0,611.0,608.0,INLT,UPVC,,,UNK,,ROT,1.0,
3733226161,534500094,-0.5,3.0,698.5,695.0,LIN,STL,204.0,,UNK,,UNK,1.0,
3733226161,534500094,-0.5,3.0,698.5,695.0,VOID,UNK,,,UNK,,UNK,1.0,
3738902801,534500103,-0.45,3.5499999999999545,720.63,716.63,LIN,STL,200.0,,UNK,,UNK,1.0,
3738902801,534500103,-0.45,12.149999999999954,720.63,708.03,LIN,PVC,135.0,,UNK,,UNK,1.0,
3738902801,534500103,-0.45,12.149999999999954,720.63,708.03,VOID,UNK,,,UNK,,UNK,1.0,
3738902801,534500103,5.55,11.549999999999955,714.63,708.63,INLT,UNK,,,SLAP,,CBT,1.0,
3739202911,534500022,-0.29,11.709999999999923,620.47,608.47,LIN,STL,152.0,,UNK,,UNK,1.0,
3739202911,534500022,-0.29,21.709999999999923,620.47,598.47,VOID,UNK,,,UNK,,UNK,1.0,
3739202911,534500022,11.71,21.709999999999923,608.47,598.47,INLT,UNK,152.0,,UNK,,CBT,1.0,
3739995651,534500053,0.0,4.0,585.08,581.08,LIN,STL,150.0,,UNK,,UNK,1.0,
3739995651,534500053,0.0,9.7,585.08,575.38,VOID,UNK,,,UNK,,UNK,1.0,
3739995651,534500053,4.0,9.0,581.08,576.08,INLT,STL,150.0,,SLAP,,CBT,1.0,
3739995651,534500053,9.0,9.7,576.08,575.38,INLT,STL,150.0,,UNK,,CBT,1.0,
3740472201,534400045,0.0,2.9,527.2,524.3,LIN,STL,219.0,,UNK,,UNK,1.0,
3740472201,534400045,0.0,30.0,527.2,497.2,LIN,PVC,155.0,,UNK,,UNK,1.0,
3740472201,534400045,0.0,42.0,527.2,485.2,VOID,UNK,,,UNK,,UNK,1.0,
3740472201,534400045,30.0,36.0,497.2,491.2,INLT,UPVC,155.0,,SLAP,12.0,ROT,1.0,
3740472201,534400045,36.0,42.0,491.2,485.2,INLT,UPVC,155.0,,UNK,,ROT,1.0,
3745767301,514300002,0.0,24.5,507.0,482.5,LIN,PVC,150.0,,UNK,,UNK,1.0,
3745767301,514300002,0.0,36.5,507.0,470.5,VOID,UNK,,,UNK,,UNK,1.0,
3745767301,514300002,24.5,30.5,482.5,476.5,INLT,UPVC,150.0,,SLAP,,CBT,1.0,
3745767301,514300002,30.5,36.5,476.5,470.5,INLT,UPVC,150.0,,UNK,,CBT,1.0,
3749349021,534400084,0.0,3.0,548.06,545.06,LIN,STLG,,,UNK,,UNK,1.0,
