MORPH_ID,HydroCode,FromDepth,ToDepth,TopElev,BottomElev,HGUID,HGUNumber,NafHGUNumber,NafHGUName,Description,Author,Source,Comment,GA_UNIT,GA_STRATNO,geometry
3763095231,484200003,0.02,28.642999999999994,373.44,344.82,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,,PEPS/G. NICHOLS,SAGeodata,,,-999999.0,
3763095231,484200003,28.64,155.123,344.82,218.34,31000142.0,1141.0,134001,Undifferentiated Proterozoic to Mesozoic bedrock,,PEPS/G. NICHOLS,SAGeodata,,,-999999.0,
3763095231,484200003,155.12,625.123,218.34,-251.66,31000056.0,1055.0,134001,Undifferentiated Proterozoic to Mesozoic bedrock,,PEPS/G. NICHOLS,SAGeodata,,,-999999.0,
3763095231,484200003,625.12,812.123,-251.66,-438.66,31000056.0,1055.0,134001,Undifferentiated Proterozoic to Mesozoic bedrock,EQUIV,PEPS/G. NICHOLS,SAGeodata,,,-999999.0,
3763095231,484200003,812.12,845.123,-438.66,-471.66,31000056.0,1055.0,134001,Undifferentiated Proterozoic to Mesozoic bedrock,,PEPS/G. NICHOLS,SAGeodata,,,-999999.0,
3763095231,484200003,845.12,1045.123,-471.66,-671.66,31000056.0,1055.0,134001,Undifferentiated Proterozoic to Mesozoic bedrock,,PEPS/G. NICHOLS,SAGeodata,,,-999999.0,
3763095231,484200003,1045.12,1261.123,-671.66,-887.66,31000118.0,1117.0,134001,Undifferentiated Proterozoic to Mesozoic bedrock,,PEPS/G. NICHOLS,SAGeodata,,,-999999.0,
3763095231,484200003,1261.12,1359.123,-887.66,-985.66,31000056.0,1055.0,134001,Undifferentiated Proterozoic to Mesozoic bedrock,EQUIV,PEPS/G. NICHOLS,SAGeodata,,,-999999.0,
3763095231,484200003,1359.12,1835.123,-985.66,-1461.66,31000126.0,1125.0,134001,Undifferentiated Proterozoic to Mesozoic bedrock,,PEPS/G. NICHOLS,SAGeodata,,,-999999.0,
3763095231,484200003,1835.12,1873.303,-1461.66,-1499.84,31000052.0,1051.0,134001,Undifferentiated Proterozoic to Mesozoic bedrock,,PEPS/G. NICHOLS,SAGeodata,,,-999999.0,
3763333651,474500110,0.0,12.59,699.0,686.41,31000038.0,1037.0,134001,Undifferentiated Proterozoic to Mesozoic bedrock,LATERITE AND PYROXENITE,C.HELLWIG,SAGeodata,,,-999999.0,
3763461651,494500030,0.0,1.0,673.0,672.0,31000139.0,1138.0,100001,,,,,,,,
3763461651,494500030,1.0,10.0,672.0,663.0,31000045.0,1044.0,125005,,,,,,,,
3763461652,494500031,0.0,1.0,673.0,672.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,,PAYNE JL,SAGeodata,,,-999999.0,
3763461652,494500031,1.0,5.0,672.0,668.0,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,WEATHERED,PAYNE JL,SAGeodata,,,-999999.0,
3763461652,494500031,5.0,17.0,668.0,656.0,31000045.0,1044.0,125005,Jurassic sediments,,PAYNE JL,SAGeodata,,,-999999.0,
3763461653,494500032,0.0,3.0,673.0,670.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,SANDY CLAY,PAYNE JL,SAGeodata,,,-999999.0,
3763461653,494500032,3.0,10.0,670.0,663.0,31000045.0,1044.0,125005,Jurassic sediments,,PAYNE JL,SAGeodata,,,-999999.0,
3763461654,494500033,0.0,3.0,673.0,670.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,,PAYNE JL,SAGeodata,,,-999999.0,
3763461654,494500033,3.0,13.0,670.0,660.0,31000045.0,1044.0,125005,Jurassic sediments,,PAYNE JL,SAGeodata,,,-999999.0,
3765120101,524400012,0.0,22.0,541.01,519.01,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,,NIKOLA VASILIC,SAGeodata,,,-999999.0,
